Date,Series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,Close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
2025-01-01,EQ,99.29,100.58,98.08,99.2,99.5,99.5,99.36,121.24,77.77,11566,1150817.0,84
2025-01-02,EQ,99.02,99.14,97.84,98.68,98.66,98.66,98.66,124.52,78.57,11200,1104992.0,104
2025-01-03,EQ,100.72,102.33,99.43,101.15,101.07,101.07,100.89,121.01,76.74,11421,1154320.47,107
2025-01-06,EQ,99.33,100.47,98.71,99.5,99.3,99.3,99.45,122.56,76.79,9243,917829.9,92
2025-01-07,EQ,100.27,101.75,99.74,99.94,100.15,100.15,100.48,121.06,78.75,10632,1064794.8,90
2025-01-08,EQ,100.91,102.27,100.82,101.07,101.17,101.17,101.29,123.55,79.56,9090,919635.3,93
2025-01-09,EQ,100.59,101.57,99.7,100.22,100.29,100.29,100.54,123.3,76.56,10907,1093863.03,118
2025-01-10,EQ,100.55,101.58,100.03,100.26,100.39,100.39,100.64,121.91,75.91,11074,1111718.86,110
2025-01-13,EQ,99.19,101.17,98.93,98.95,99.7,99.7,99.75,124.31,75.6,11796,1176061.2,88
2025-01-14,EQ,100.14,101.46,99.09,100.52,100.05,100.05,100.19,120.43,79.95,11943,1194897.15,107
2025-01-15,EQ,99.01,100.0,97.03,98.75,98.45,98.45,98.62,121.63,76.18,10810,1064244.5,97
2025-01-16,EQ,100.05,101.93,99.98,100.05,100.6,100.6,100.64,122.15,78.91,11368,1143620.8,117
2025-01-17,EQ,100.8,102.41,100.22,100.88,101.1,101.1,101.13,122.56,77.3,10591,1070750.1,81
2025-01-20,EQ,99.13,100.87,98.2,99.59,99.17,99.17,99.34,122.44,75.49,9276,919900.92,96
2025-01-21,EQ,100.61,101.29,99.15,100.65,100.18,100.18,100.31,121.9,75.54,11978,1199956.04,89
2025-01-22,EQ,99.85,101.05,99.62,100.01,100.13,100.13,100.16,123.86,75.67,10554,1056772.02,85
2025-01-23,EQ,100.71,102.7,99.01,101.2,100.83,100.83,100.81,122.89,76.2,11519,1161460.77,119
2025-01-24,EQ,99.25,100.05,98.23,98.83,98.82,98.82,99.09,121.27,79.3,11201,1106882.82,119
2025-01-27,EQ,99.07,100.57,98.13,98.66,99.31,99.31,99.27,123.04,76.73,10389,1031731.59,85
2025-01-28,EQ,99.43,101.23,97.46,99.34,99.5,99.5,99.41,123.05,79.76,10553,1050023.5,84
2025-01-29,EQ,100.23,101.46,99.84,99.73,100.11,100.11,100.41,124.13,76.17,10104,1011511.44,98
2025-01-30,EQ,100.08,100.57,99.49,100.17,99.9,99.9,100.01,123.88,77.24,11832,1182016.8,98
2025-01-31,EQ,100.06,101.96,99.89,100.4,100.75,100.75,100.66,123.97,77.95,10599,1067849.25,83
2025-02-03,EQ,99.92,100.16,99.46,99.87,99.84,99.84,99.84,121.85,77.26,8820,880588.8,81
2025-02-04,EQ,100.43,100.8,99.69,99.98,100.21,100.21,100.28,121.11,75.09,10799,1082167.79,105
2025-02-05,EQ,100.73,101.39,99.61,100.4,100.73,100.73,100.62,124.17,75.26,11795,1188110.35,107
2025-02-06,EQ,99.7,100.83,98.76,99.78,99.6,99.6,99.72,123.62,79.3,8268,823492.8,118
2025-02-07,EQ,100.72,101.52,100.01,100.42,100.78,100.78,100.76,123.9,77.28,10939,1102432.42,116
2025-02-10,EQ,99.14,100.69,97.77,99.55,99.51,99.51,99.28,123.88,75.03,9470,942359.7,110
2025-02-11,EQ,99.7,100.17,98.78,99.4,99.34,99.34,99.5,123.44,76.0,8039,798594.26,117
2025-02-12,EQ,100.04,101.51,98.57,99.65,100.14,100.14,100.06,124.13,76.34,11263,1127876.82,108
2025-02-13,EQ,99.2,99.87,98.3,98.88,98.84,98.84,99.05,122.42,76.61,8591,849134.44,93
2025-02-14,EQ,99.91,100.16,98.67,99.67,99.55,99.55,99.57,121.1,77.52,9826,978178.3,113
2025-02-17,EQ,99.88,101.64,98.63,100.35,99.89,99.89,100.01,123.36,77.21,10501,1048944.89,98
2025-02-18,EQ,100.8,101.65,98.88,100.82,100.66,100.66,100.5,121.88,76.77,11359,1143396.94,114
2025-02-19,EQ,100.96,101.3,100.06,101.17,100.99,100.99,100.83,124.08,75.97,8348,843064.52,104
2025-02-20,EQ,100.23,101.01,99.14,100.61,99.95,99.95,100.08,122.42,75.37,11452,1144627.4,108
2025-02-21,EQ,100.89,101.09,100.88,100.43,100.72,100.72,100.9,123.18,79.63,11709,1179330.48,86
